PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Pressure	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature	GyrTemp_X	GyrTemp_Y	GyrTemp_Z
1	68098952					790000697	2023	7	21	20	8	56	0	0.002726	-0.268108	9.814113							0.002953	0.007091	0.001345							3.1e-05	-0.002683	0.098141	1.0	1.5e-05	3.5e-05	7e-06	92893.0	-1.837482	-0.569946	1.42795	-21.216660205	-44.971346354	923.114633				0.0			
22	68101052					1666	2023	7	21	20	8	57	0	0.167961	-0.509836	9.76715							0.0044	0.006589	0.000436							0.001683	-0.005101	0.097671	1.0	2.2e-05	3.3e-05	2e-06	92889.0	-1.837359	-0.568039	1.430933	-21.21666022	-44.971346345	923.112673				0.0			
122	68111052					1540	2023	7	21	20	8	58	0	0.185476	-0.244104	9.733333							-0.0021	-0.006301	0.00176							0.001852	-0.00244	0.097333	1.0	-1e-05	-3.2e-05	9e-06	92892.0	-1.847546	-0.567828	1.444314	-21.216659999	-44.971346714	922.482601				0.0			
222	68121052					1413	2023	7	21	20	8	59	0	-0.016004	-0.228627	9.827112							0.003669	0.0065	-0.003662							-0.000157	-0.002288	0.098271	1.0	1.8e-05	3.3e-05	-1.8e-05	92899.0	-1.846823	-0.566889	1.456337	-21.216660054	-44.971346715	922.627844				0.0			
322	68131052					1287	2023	7	21	20	9	0	0	0.144051	-0.48932	9.809134							0.003952	0.008107	0.00275							0.001445	-0.004895	0.098091	1.0	2e-05	4.1e-05	1.4e-05	92905.0	-1.838656	-0.558104	1.464633	-21.216660105	-44.971346738	922.741721				0.0			
422	68141052					1161	2023	7	21	20	9	1	0	0.171273	-0.44201	9.784707							0.000121	-0.002263	0.003047							0.001712	-0.00442	0.097847	1.0	1e-06	-1.1e-05	1.5e-05	92900.0	-1.819963	-0.557178	1.483223	-21.216660139	-44.97134674	922.827308				0.0			
522	68151052					1035	2023	7	21	20	9	2	0	0.106585	-0.127817	9.671599							-0.002051	-0.008905	0.003708							0.001062	-0.001277	0.096716	1.0	-1e-05	-4.5e-05	1.9e-05	92899.0	-1.812855	-0.554732	1.484125	-21.216660156	-44.971346725	922.894943				0.0			
622	68161052					908	2023	7	21	20	9	3	0	0.0368	-0.378877	9.803903							0.000938	0.006102	0.001394							0.000371	-0.003789	0.098039	1.0	5e-06	3.1e-05	7e-06	92890.0	-1.818253	-0.561368	1.484264	-21.216660187	-44.971346743	922.955959				0.0			
722	68171052					782	2023	7	21	20	9	4	0	0.195248	-0.45078	9.825961							0.003348	0.004818	-0.000585							0.001955	-0.004509	0.098259	1.0	1.7e-05	2.4e-05	-3e-06	92893.0	-1.820286	-0.575798	1.49056	-21.216660228	-44.971346738	923.001898				0.0			
822	68181052					656	2023	7	21	20	9	5	0	0.151523	-0.313819	9.714025							-0.005169	-0.002828	0.002922							0.001514	-0.003136	0.09714	1.0	-2.6e-05	-1.4e-05	1.5e-05	92893.0	-1.822773	-0.572864	1.512285	-21.216660254	-44.971346758	923.038712				0.0			
