out_longitude,out_latitude,out_altitude,out_vel_x,out_vel_y,out_vel_z
-0.37031248,-0.7848998,876.24365,-2.4427986,9.397752,-0.6331206
-0.37031302,-0.78489834,878.20355,-2.7118936,9.597854,-0.6888576
-0.3703132,-0.7848967,876.8941,-2.8233948,9.970372,-0.60520023
-0.3703139,-0.784895,877.4598,-3.0404165,10.448164,-0.7079485
-0.3703148,-0.7848935,880.3431,-3.063606,10.117549,-0.6659011
-0.3703151,-0.7848919,879.586,-2.7716775,9.625049,-0.5855721
-0.3703154,-0.7848905,879.5628,-2.2854958,8.9615965,-0.48070914
-0.37031594,-0.7848891,880.7249,-0.26737392,9.008799,-0.6592817
-0.37031564,-0.78488743,884.39606,1.8032144,9.356741,-0.8613229
-0.3703155,-0.784886,886.36694,4.303827,9.011876,-1.1038744
-0.37031442,-0.78488463,886.5836,5.4174223,8.618402,-1.0033468
-0.37031373,-0.7848834,888.26715,6.234251,8.103911,-0.98768187
-0.37031257,-0.7848819,888.19574,6.0777917,8.190865,-0.95911956
-0.37031147,-0.78488076,889.9627,6.703132,7.3177433,-0.83059996
-0.37031087,-0.7848799,892.8176,8.3902445,5.8115706,-1.0144073
-0.37030885,-0.7848793,893.7559,8.925769,4.450185,-0.7867558
-0.37030685,-0.78487855,892.30133,9.045607,3.8479466,-0.6477234
-0.3703058,-0.7848815,888.8973,8.362342,4.46957,-0.9259707
-0.37030444,-0.7848779,895.9429,9.024714,3.5167177,-0.42675442
-0.37030324,-0.7848774,896.96686,8.777175,3.307523,-0.50899404
-0.3703019,-0.78487754,897.98975,9.386642,0.8781569,-0.26588163
-0.37030023,-0.7848777,899.2426,8.904695,-1.4127314,-0.1855845
-0.37029937,-0.7848785,899.7318,8.572891,-3.0876675,-0.23152016
-0.37029815,-0.78487945,897.4113,8.315286,-3.8865306,-0.029278334
-0.37029573,-0.78488034,898.79315,8.461749,-3.833272,0.262909
-0.3702941,-0.7848812,898.9377,8.154658,-3.7204747,0.4023804
-0.37029317,-0.78488195,898.7154,7.735587,-3.5524018,0.28885755
-0.37029165,-0.7848825,898.77075,6.5299435,-2.6042557,0.4594751
-0.37029034,-0.78488255,898.1733,5.6484175,-1.5571611,0.32360035
-0.37029004,-0.7848834,898.7046,4.3787026,-0.8148947,0.3092275
-0.37028888,-0.7848839,898.50494,4.0135283,-1.8384244,0.5426969
-0.37028888,-0.784885,899.41516,2.858398,-2.8717227,0.81077594
-0.37028763,-0.78488564,898.4439,1.256307,-3.7533755,1.2156101
-0.37028763,-0.78488654,894.83435,-1.4500855,-4.7876577,1.4567918
-0.37028864,-0.78488755,898.1536,-3.7973957,-5.216314,1.5654726
-0.37028942,-0.78488815,896.4683,-4.8553724,-5.50127,1.5540379
-0.370291,-0.7848893,895.6169,-5.1858697,-6.107121,1.4991767
